feature,rows_treated,rows_control,mean_treated,mean_control,standard_deviation_treated,standard_deviation_control,standardised_mean_difference,z_statistic,p_value
f0,11882655,2096937,19.614754927917357,19.651704598341983,5.3755639078655335,5.388111937006137,-0.006865618372250798,-9.158571343850888,5.258889808635849e-20
f1,11882655,2096937,10.070336468853249,10.067935192469877,0.1066934557500848,0.09298994899171985,0.023994400679302374,33.68512279905216,9.546858645712217e-249
f2,11882655,2096937,8.446301724837399,8.448173251434486,0.299074462455246,0.30067607737392904,-0.00624099454533799,-8.316597256380472,9.052471246607712e-17
f3,11882655,2096937,4.1694116408999005,4.232820957687828,1.3524322427068194,1.2420284848808996,-0.04883634026324087,-67.2292676643198,0.0
f4,11882655,2096937,10.339245221446188,10.33652566617022,0.3441166068386165,0.33868142308251636,0.007965661878540847,10.694424639246117,1.0808839709144234e-26
f5,11882655,2096937,4.026602305307895,4.039338647301743,0.4370445292247997,0.3955382044612065,-0.03055683066042343,-42.29416214434281,0.0
f6,11882655,2096937,-4.1827923926987065,-3.9998797265488255,4.600939665911159,4.441984733867575,-0.04044806888649284,-54.67753237934996,0.0
f7,11882655,2096937,5.105555333120273,5.080284340120637,1.2124614723321256,1.1632922502568526,0.02126952997581918,28.816554359939442,1.3306164255279368e-182
f8,11882655,2096937,3.933391878647928,3.9346517722432726,0.05686912239571296,0.055445190504723324,-0.022433335895262342,-30.219289686340392,1.3217018133841782e-200
f9,11882655,2096937,16.05258862254133,15.886252389523134,7.056250588724364,6.802162179857736,0.02400105773455969,32.462148667361824,3.6502498231596495e-231
f10,11882655,2096937,5.333659929290435,5.331898215658715,0.16884671272047472,0.16467570186021835,0.010563463240729275,14.227987234695624,6.1424354675001056e-46
f11,11882655,2096937,-0.17098480762494814,-0.17086775002078694,0.022894622704805485,0.022478787019648037,-0.0051595279790242286,-6.932918419117304,4.122459692217447e-12
